Original_Entry_ID,pXC50,SMILES
25022704,6.0846,O(C=1C(CNC)=CN=C(C1)C)C=2C(OC3=CC=CC=C3)=CC=CC2
CHEMBL512636,6.82,C1(=CC=C(C=C1)C(C2=CC=C(C=C2)F)OCCN3CCN(CC3)CCC(C4=CC=CC=C4)(C)O)F
CHEMBL591829,7.34,C=1(C=C2C(=CNC2=CC1)CCC3CCCCN3CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C#N
CHEMBL1224241,8.3,C1(CNCC1)(C(C2=CC(=C(S2)Cl)Cl)=O)CCC(C)(C)C
CHEMBL446281,7.59,C(C(N(CC1=C(C(=CC=C1)Cl)Cl)[C@@H]2CNCC2)=O)(C)(C)C
45380180,8.40012,ClC=1C=C([C@]23[C@H]([C@@H]2CN(C)C)CNC3)C=CC1Cl
44592334,9.50031,FC1=CC(N2CCN(CC2)CCCC3=C4OCC(=O)N(C4=CC=C3)C)=C5C(N=C(C=C5)C)=C1
71727754,7.10237,ClC=1C=C(C(C2CCNCC2)CO)C=CC1Cl
CHEMBL233470,8.09,C=1C=C2C(C=3C=CC(OC)=CC3)CN(C)CC2=CC1OCCCN4CCCC(C4)(F)F
CHEMBL2112982,8.14,C=12NO[C@H](C1C=CC3=C2C=CC(OC)=C3)CN4CCN(CC4)C/C=C/C=5C=CC=CC5
CHEMBL3216745,7.8,N1(CCCNC(C=2N=C(N(C2C)C3=CC=CC=C3)C(C)C)=O)CCN(CC1)C=4C(=C(C=CC4)C)C
CHEMBL390929,8.33,C12OC(CC1)C[C@@H]([C@@H]2C(OC)=O)C3=CC=C(C(=C3)Cl)Cl
CHEMBL316342,8.33,C1(C(C2=CC(Cl)=C(C=C2)Cl)CC3OC1CC3)C(=O)OC
CHEMBL1173276,6.41,C=1C=C(C=C(C1)Br)[C@@]2(OCC(N[C@H]2C)(C)C)O
CHEMBL451105,5.96,O1C2=C([C@H](OC3=CC=CC=C3C)[C@H](CN(C)C)C1)C=CC=C2
CHEMBL461148,5.05,C=1C=CC2=C(N(C(N2[C@H](CCNC)C=3C=CC=CC3)=O)C(C)C)C1
CHEMBL1672022,5.52,C=1C=C(/C=C(/CC2=CC=C(C=C2)OC)\N(=O)=O)C=CC1OC
CHEMBL2338351,7.8,C1(CCCCC1)(CNC(C2=C3C(=CC=C2)CN(CC3)C)=O)N4CCN(CC4)C5=CC=CC=C5
CHEMBL273136,7.89,C1=CC(=C(C=C1C(N2CCCN(CC2)C3CC3)=O)CNC)OC=4C=CC=C(C4)OC
CHEMBL395609,7.89,C1=C(OCCCN2[C@H](COCC2)C)C=C3CN(C[C@H](C3=C1)C=4C=CC(=CC4)OC)C
CHEMBL247161,7.89,C1=C(OCCCN2[C@H](COCC2)C)C=C3CN(C[C@@H](C3=C1)C=4C=CC(=CC4)OC)C
CHEMBL469068,7.57,C(N([C@@H]1CNCC1)CC=2C=CC(=CC2Cl)Cl)(=O)CC(C)(C)C
CHEMBL1684055,9.0,C1(C2=CC=C3C(=C2)C=CC=C3)(C(N(C)C)C)CCCCC1
CHEMBL1224318,7.5,C1(CNCC1)(C(C2=CN=C(C(=C2)Cl)N)=O)CCC(C)(C)C
52942615,6.7122,O(CCCN1CCN(CC1)C=2C=3C(C=CC2)=CC=CC3)C4=C(C=5C(=CNC5O)C=C4)C
CHEMBL219116,5.23,C(C1=CC=C(C=C1)Cl)(C(OC)=O)C2NCCCC2
CHEMBL549490,7.66,C=1(C#N)C=CC2=C(C(=CN2)[C@@H]3[C@H](CCC3)CN4CCCC4)C1
24948507,6.55129,O(CCCN1CCCCC1)C2=CC=C(OC(CCN(C)C)C3=CC=CC=C3)C=C2
CHEMBL173594,8.89,[C@H]1(C2N(C)C(C[C@@H]1C=3C=CC(/C=C/C)=CC3)CC2)C(=O)OC
CHEMBL435341,8.94,[C@H]1(C2N(C)C(C[C@@H]1C=3C=CC(/C=C\C)=CC3)CC2)C(=O)OC
CHEMBL1729,6.69,COC1CN(CCCOC2=CC=C(F)C=C2)CCC1NC(=O)C=3C=C(Cl)C(N)=CC3OC
CHEMBL138031,8.19,C1(=NC=CS1)C(OC=2C=3C(=CC=CC3)C=CC2)CCNC
11310988,9.74473,N(C[C@@H]1[C@H](C1)C=2C=3C(NC2)=CC=C(C3)C#N)(C)C
11615635,8.05061,N(C[C@H]1[C@@H](C1)C=2C=3C(NC2)=CC=C(C3)C#N)(C)C
CHEMBL194910,7.77,[C@@H]1(C=2C=3C(=CC=C(C#N)C3)NC2)[C@H](CN(C)C)C1
CHEMBL1162965,8.96,C1=C(C=CC=2NC=C(C12)C3C(C3)CN(C)C)C#N
11586759,8.24413,N(C[C@@H]1[C@@H](C1)C=2C=3C(NC2)=CC=C(C3)C#N)(C)C
CHEMBL3216286,7.26,N1(CCCNC(C=2N=C(N(C2C)C3=C(C=CC=C3)OC)CCC)=O)CCN(CC1)C=4C(=C(C=CC4)Cl)C
CHEMBL595190,8.46,C1C2N(C(CC2)[C@H](C(=O)OCCCCCCCN3N=NC(=C3)COC([C@@H]4C5N(C)C(C[C@@H]4C6=CC=C(C=C6)Cl)CC5)=O)[C@H]1C7=CC=C(C=C7)Cl)C
CHEMBL43064,6.24,N1(CCN(CC1)C/C=C/C=2C=CC=CC2)C(C=3C=CC=CC3)C=4C=CC=CC4
CHEMBL314887,5.24,C12C(C(C3=CC=C(C=C3)F)CC(N1C)[C@H](C2)O)C(=O)OC
CHEMBL2113055,7.08,S(C1=C(C(NC)=O)C=CC=C1)C2=C(N(=O)=O)C=CC=C2
CHEMBL257434,8.54,C1=CC(=C(C=C1C(N2CCCN(CC2)C3CC3)=O)CNC)OC=4C=CC(SC)=CC4
49799522,7.500039999999999,ClC=1C=C([C@]23[C@H]([C@H]2COC)CCNC3)C=CC1Cl
11191321,7.92082,O1N=C2[C@H]([C@@H]1CN3CCN(CC3)C/C(/C)=C/C4=CC=CC=C4)COC=5C2=CC=C(OC(=O)C(C)(C)C)C5
CHEMBL583113,5.88,C=1C=CC(=C([C@H](N2C3=C(C=C2)C=CC=C3)[C@@H](CNC)O)C1)Cl
CHEMBL381056,8.66,C1(CN(CC(C)C)C2CCNCC2)=CC=CC(C)=C1
54757023,6.09366,S1(=O)(=O)N(CCC2OCCNC2)C3=C(N1C=4C(F)=CC=CC4)C=C(F)C=C3
CHEMBL40416,5.79,N(C1=CC=C(C=C1)Br)(CC=2C=CC(=CC2)Br)CCN3CCN(CC3)CCCC4=CC=CC=C4
44539964,7.49485,N1(N=CN=N1)C(CCNC)C2=CC=3C(C=C2)=CC=CC3
44587449,5.17393,FC(F)(F)C=1C(O[C@H]2[C@H](OCC=3C2=CC=CC3)CNC)=CC=CC1
44593690,5.25181,FC(F)(F)C=1C(O[C@@H]2[C@@H](OCC=3C2=CC=CC3)CNC)=CC=CC1
25150627,7.09151,S1C([C@]2([C@@H](C2)CN)C(=O)N(CC)CC#C)=CC=C1
CHEMBL564445,5.67,C1=CC=2N(C(N(C2C=C1F)[C@@H](C3=CC=CC=C3)[C@H](O)CNC)=O)CC
CHEMBL2206518,5.84,C1=CC(=CC=C1)C2C3=C(CN(C2)C)C=C(C=C3)OC
CHEMBL420900,5.94,C(=O)(NCCCNCCOC(C1=CC=C(C=C1)F)C2=CC=C(C=C2)F)CC3=CC=CC=C3
CHEMBL513248,7.59,[C@]1(C(N(CC#C)CC#C)=O)([C@H](CN)C1)C=2SC=CC2
CHEMBL2112980,7.66,C12=NO[C@H]([C@@H]1CNC3=C2C=C(C(OC)=C3)OC)CN4CCN(CC4)CC=5C=CC=6C(C5)=CC=CN6
CHEMBL242011,3.76,C=1C(=CC=C2OCOC21)C[C@@H]3[C@H](COC3=O)CC4=CC=C5C(=C4)OCO5
CHEMBL593865,7.59,C1=C2C(=C3C(OCC(C3)N(CCCC=4C5=C(NC4)C=CC(=C5)F)CC6CC6)=C1)C(=O)NCC2
CHEMBL3085023,4.96,C1C[C@@H]2C[C@@H](C[C@H]1N2CCN)NC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
CHEMBL3216303,7.46,N1(CCN(CC1)C=2C=CC=C(C2Cl)Cl)CCCNC(C=3N=C(N(C3C)C4CCCC4)C)=O
CHEMBL245516,7.8,C1(OCCCN2CCCCC2)=CC=C(C=C1)C(CCN(C)C)OC3=CC=C(C=C3)C
15981911,7.0315199999999995,O(CC1CCN(CC1)C(C)C)C2NCC3=C(C=NC=C3C2)C4=CC=C(OC)C=C4
CHEMBL233211,8.89,C1(C=CC2C(=C1)CO[C@H]2CCN3[C@H](CN(CC3)C4=CC=CC=5C4=CC=C(C5)F)C)C(N)=O
CHEMBL233212,8.06,C1(C=CC2C(=C1)CO[C@@H]2CCN3[C@H](CN(CC3)C4=CC=CC=5C4=CC=C(C5)F)C)C(N)=O
CHEMBL1306,5.22,[C@@]1(C=2C(=CC(=CC2)Cl)Cl)(CN3N=CN=C3)O[C@@H](COC4=CC=C(N5CCN(CC5)C(C)C)C=C4)CO1
CHEMBL2047579,4.79,[C@H]([C@@H](C)N1CCC(=CC1)CC=2C=CC=CC2)(O)C=3C=C(C(=CC3)Cl)Cl
CHEMBL2047580,6.44,[C@H]([C@H](C)N1CCC(=CC1)CC=2C=CC=CC2)(O)C=3C=C(C(=CC3)Cl)Cl
44562773,7.30103,O([C@@H]1[C@@](O)(CC=2C1=CC=CC2)CNC)C=3C(=C(C=CC3)C)C
71562712,8.80134,O([C@H]([C@H]1CCNC1)C2=CC=CC=C2)C3=C(OC)C=C(N(=O)=O)C=C3
CHEMBL2338038,8.8,C1=C(C=CC(=C1OC)OC(C2=CC=CC=C2)[C@H]3CCNC3)N(=O)=O
11077246,7.25259,OC1(N2CCCN=C2C3=C1C=CC=C3)C4=CC=C(OC)C=C4
CHEMBL101905,7.48,N12C3C(C(C1)=C)[C@H](C[C@H]2CC3)C4=CC=C(C=C4)C
CHEMBL377785,8.11,C12N3C(CC1)CC(C4=CC=C(C=C4)C)C2C(=C)C3
CHEMBL219224,5.72,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)C
71541469,8.05061,FC1=CC=C(C2(CCN(CC2)C)COCC3=NC(CC(C)C)=CC(=C3)C(F)(F)F)C=C1
CHEMBL595055,7.82,C1=C2C(=C3C(OCC(N(CCCC=4C5=C(NC4)C=CC(=C5)F)CC)C3)=C1F)C(=O)NCC2
CHEMBL2346670,6.76,C=1(C=CC2=C(C1)C(=CN2)CCN(S(C)(=O)=O)CC)F
CHEMBL2047578,6.45,N1(CCC(CC1)(O)CC=2C=CC=CC2)[C@H]([C@@H](O)C=3C=C4C=CC(=C(C4=CC3)Cl)OC)C
CHEMBL2047577,5.6,N1(CCC(CC1)(O)CC=2C=CC=CC2)[C@@H]([C@@H](O)C=3C=C4C=CC(=C(C4=CC3)Cl)OC)C
CHEMBL1272040,6.05,C1(C)=C(C(=NC(=N1)C)C(NCCCN2CCN(CC2)C3=C(C(=CC=C3)C)C)=O)OC
CHEMBL467123,7.26,C=1C=CC(N([C@H]([C@@H](CNC)O)C2=CC=C(C=C2)OC)C)=CC1
CHEMBL1079460,8.64,O=S1(=O)N(CCN2CCC(=CC2)C3=CNC=4C=C(C=CC34)F)C5=C6N1CCCC6=CC=C5
25139785,6.36151,FC1=C2OCC(N(CCCCN3C4=C(C=C3)C=CC=C4F)CCC)CC2=C(C=C1)C(=O)N
44430844,6.08092,S1C=C([C@]2([C@@H](C2)CN)C(=O)N(CC)CC)C=C1
CHEMBL198018,6.64,C1([C@@H]2[C@@H](CN(C)C)C2)=CNC3=C1C(C#N)=CC=C3
CHEMBL42150,5.92,N(CC=1C=CC=CC1)(CCN2CCN(CC2)CCCC3=CC=CC=C3)C4=CC=CC=C4
21539381,7.003489999999999,ClC1=CC=C(C2C(C(=O)NC2)C3=CC=C(Cl)C=C3)C=C1
CHEMBL2347856,6.77,[C@@]1(CCCN(CC1)CC)(COCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CC=CC=C3
CHEMBL479409,8.05,C1(=CC=C(C(CN(C)C)=C1)OC=2C=CC(=CC2)OC(F)(F)F)S(N)(=O)=O
